run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap
CAP-bom_50-80,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0.01,155661327,fct_obj.,,1566140,,,,0,0,155569821.2,194576659,20.047028251215,,,652,7.6487252124646,,6,12.78431372549,6,OPTIMAL,1.14,
CAP-bom_50-75,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0.01,145932494,fct_obj.,,1601800,,,,0,0,145879910,194576659,25.027024952669,,,600,15.014164305949,,6,11.764705882353,6,OPTIMAL,0.67,
CAP-bom_50-70,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0.01,136203661,fct_obj.,,1636980,,,,0,0,136143294,194576659,30.031024944261,,,616,12.747875354108,,6,12.078431372549,8,OPTIMAL,0.41,
CAP-bom_ml4_30-100,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0.01,13603260,fct_obj.,,378440,,,,0,0,13603260,13603260,0,,,290,0,,3,9.3548387096774,4,OPTIMAL,0.56,
CAP-bom_ml4_30-95,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0.01,12923097,fct_obj.,,382640,,,,0,0,12835660,13603260,5.6427650430853,,,274,5.5172413793103,,3,8.8387096774194,3,OPTIMAL,0.25,
CAP-bom_ml4_30-90,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0.01,12242934,fct_obj.,,408848,,,,0,0,12176900,13603260,10.485427757758,,,267,7.9310344827586,,5,8.6129032258065,2,OPTIMAL,1.03,
CAP-bom_ml4_30-85,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0.01,11562771,fct_obj.,,424400,,,,0,0,11445260,13603260,15.863844402004,,,255,12.068965517241,,6,8.2258064516129,2,OPTIMAL,1.63,
CAP-bom_ml4_30-80,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0.01,10882608,fct_obj.,,450800,,,,0,0,10667040,13603260,21.584678966659,,,240,17.241379310345,,8,7.741935483871,3,OPTIMAL,2.14,
CAP-bom_ml4_30-75,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0.01,10202445,fct_obj.,,455600,,,,0,0,10152660,13603260,25.365978449283,,,234,19.310344827586,,8,7.5483870967742,3,OPTIMAL,1.44,
CAP-bom_ml4_30-70,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0.01,9522282,fct_obj.,,469360,,,,0,0,9349860,13603260,31.267504995126,,,222,23.448275862069,,12,7.1612903225806,2,OPTIMAL,1.13,
CAP-bom_par4-100,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0.01,5939600,fct_obj.,,169920,,,,0,0,5939600,5939600,0,,,57,0,,6,5.1818181818182,4,OPTIMAL,0.06,
CAP-bom_par4-95,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0.01,5642620,fct_obj.,,170151,,,,0,0,5605600,5939600,5.6232742945653,,,55,3.5087719298246,,6,5,3,OPTIMAL,0.09,
CAP-bom_par4-90,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0.01,5345640,fct_obj.,,175184,,,,0,0,4693730,5939600,20.975654926258,,,49,14.035087719298,,8,4.4545454545455,4,OPTIMAL,0.22,
CAP-bom_par4-85,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0.01,5048660,fct_obj.,,175184,,,,0,0,4693730,5939600,20.975654926258,,,49,14.035087719298,,8,4.4545454545455,5,OPTIMAL,0.17,
CAP-bom_par4-80,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0.01,4751680,fct_obj.,,175184,,,,0,0,4693730,5939600,20.975654926258,,,49,14.035087719298,,8,4.4545454545455,5,OPTIMAL,0.09,
CAP-bom_par4-75,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0.01,4454700,fct_obj.,,184121,,,,0,0,4066280,5939600,31.539497609267,,,48,15.789473684211,,9,4.3636363636364,3,OPTIMAL,0.22,
CAP-bom_par4-70,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0.01,4157719,fct_obj.,,184121,,,,0,0,4066280,5939600,31.539497609267,,,48,15.789473684211,,9,4.3636363636364,3,OPTIMAL,0.16,
