bom_id,supplier_variant,penalty_level,status,total_cost,total_emissions,suppliers_used,avg_quality,avg_reliability,supplier_concentration_index,delta_cost_vs_baseline,delta_emissions_vs_baseline,supplier_switch_rate,emissions_per_unit_cost,runtime_sec
13,A,N/A,FEASIBLE,116448,29495946,8,,,0.53333333333333,,,,253.29714550701,8
13,B,N/A,FEASIBLE,116448,29495946,8,0.78866666666667,0.85666666666667,0.53333333333333,0,0,0,253.29714550701,5
13,C1,C1,FEASIBLE,117367.29,29496546,8,0.794375,0.8625,0.5,919.28999999999,600,0,251.3182846771,14
13,C2,C2,FEASIBLE,121044.45,29496546,8,0.78866666666667,0.85666666666667,0.53333333333333,4596.45,600,0,243.68358896257,13
50,A,N/A,FEASIBLE,1381460,194576659,5,,,0.93333333333333,,,,140.848565286,6
50,B,N/A,FEASIBLE,1381460,194576659,5,0.63733333333333,0.68966666666667,0.93333333333333,0,0,0,140.848565286,6
50,C1,C1,FEASIBLE,1492283.6,194576659,5,0.63733333333333,0.68966666666667,0.93333333333333,110823.6,0,0,130.38852601476,8
50,C2,C2,FEASIBLE,1932518,193039003.8,5,0.63862068965517,0.69103448275862,0.93103448275862,551058,-1537655.2,0.041666666666667,99.889886562506,8
